eğitim düzeyi,Yaş Aralığı,Yıl,Adana-1,Adıyaman-2,Afyonkarahisar-3,Ağrı-4,Aksaray-68,Amasya-5,Ankara-6,Antalya-7,Ardahan-75,Artvin-8,Aydın-9,Balıkesir-10,Bartın-74,Batman-72,Bayburt-69,Bilecik-11,Bingöl-12,Bitlis-13,Bolu-14,Burdur-15,Bursa-16,Çanakkale-17,Çankırı-18,Çorum-19,Denizli-20,Diyarbakır-21,Düzce-81,Edirne-22,Elazığ-23,Erzincan-24,Erzurum-25,Eskişehir-26,Gaziantep-27,Giresun-28,Gümüşhane-29,Hakkari-30,Hatay-31,Iğdır-76,Isparta-32,İstanbul-34,İzmir-35,Kahramanmaraş-46,Karabük-78,Karaman-70,Kars-36,Kastamonu-37,Kayseri-38,Kilis-79,Kırıkkale-71,Kırklareli-39,Kırşehir-40,Kocaeli-41,Konya-42,Kütahya-43,Malatya-44,Manisa-45,Mardin-47,Mersin-33,Muğla-48,Muş-49,Nevşehir-50,Niğde-51,Ordu-52,Osmaniye-80,Rize-53,Sakarya-54,Samsun-55,Şanlıurfa-63,Siirt-56,Sinop-57,Şırnak-73,Sivas-58,Tekirdağ-59,Tokat-60,Trabzon-61,Tunceli-62,Uşak-64,Van-65,Yalova-77,Yozgat-66,Zonguldak-67
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,6--13,2017,143317,45084,39813,48693,25887,15966,289790,132469,5099,6830,52293,51440,8484,50897,4154,9946,18054,28416,13562,11776,161791,21435,8355,25898,52003,141648,19468,15724,33015,11184,48662,38268,166892,18618,9062,22021,112645,14887,20956,824825,204742,83849,9919,13687,19930,15364,87174,9354,13017,13820,11112,110733,132663,25582,47474,72407,68709,106988,44890,36938,15459,21375,36404,37082,15613,52515,66210,199415,29032,9019,46967,33266,54946,30809,39565,2796,17179,97927,11953,23820,28478
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,14--17,2017,2168,574,727,2434,738,66,2106,1319,30,28,496,478,29,1460,57,45,286,746,53,100,1362,220,97,175,474,4295,135,278,417,101,717,306,2804,251,1164,1302,1723,393,322,11254,1833,1120,51,119,261,98,610,157,167,160,274,832,1819,181,364,549,2128,1282,344,1972,189,205,358,545,96,625,476,6566,1116,87,1477,474,593,294,374,20,133,3700,159,1373,167
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,18--21,2017,5499,1275,1064,8244,853,203,3547,2190,116,80,1175,1007,60,3053,75,214,1179,2965,114,136,3205,604,189,293,724,12690,190,832,888,255,2421,582,6764,287,872,1870,3625,1183,479,23154,4139,2064,106,139,1121,215,1145,329,249,434,329,1587,2571,242,852,1662,5271,3176,491,5257,293,473,452,915,137,783,785,19723,2315,163,3089,699,1529,631,457,110,234,11432,296,1440,320
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,22--24,2017,6455,1397,904,7331,621,170,3795,2206,155,55,1232,985,76,3111,89,199,1255,2777,110,122,3654,458,141,344,697,12587,183,599,923,206,2785,609,7124,196,475,1712,3568,1101,235,28527,5148,2159,102,105,1290,219,1235,305,204,329,238,1875,2380,221,845,1729,5159,4003,591,4196,273,587,511,877,110,754,990,20542,2203,176,3646,538,1600,692,348,51,252,11502,282,940,278
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,25--29,2017,10302,2518,1190,9533,565,281,6707,3895,265,92,1952,1426,117,5308,78,281,1994,4044,196,180,5817,539,147,605,1307,21904,314,776,1452,311,3759,903,10324,373,232,2914,4879,1483,338,49642,9659,2508,120,132,1749,354,2068,371,257,465,289,3474,3992,379,1319,2886,7970,7017,1167,6013,311,649,1052,1170,181,1237,1872,30238,3120,189,5879,797,2664,994,567,62,405,17115,439,943,448
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,30--34,2017,6273,1095,444,4993,264,157,3240,2418,239,47,1309,900,67,3891,46,124,1651,2277,115,103,2961,377,68,366,685,17492,201,562,1493,207,2148,503,5452,238,88,2353,3006,1234,174,26362,6169,1308,85,113,1174,216,999,232,154,296,166,1837,1672,198,837,1688,5170,5206,721,3305,146,286,613,717,141,687,1355,18965,2338,122,3865,378,1423,624,332,62,192,10014,275,292,252
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,35--39,2017,5527,952,362,3897,216,111,2457,2146,112,67,1163,746,67,4274,39,106,1558,2149,81,73,2317,339,63,242,652,16246,161,436,1529,213,1954,374,3656,245,69,2692,2580,1028,132,18279,5330,1236,76,64,699,180,811,165,115,239,149,1448,1295,174,886,1573,4605,4522,549,2954,76,283,686,552,193,534,1285,14175,2262,135,4430,322,1258,563,326,49,173,9467,196,237,206
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,40--44,2017,4499,1125,459,2696,278,107,2155,1954,98,64,1080,837,76,3073,52,69,1335,1548,63,81,1969,284,77,282,604,12496,189,422,1919,196,1735,347,3393,279,117,1617,2493,818,138,13981,4586,1410,56,52,512,182,845,139,95,222,130,1305,1225,224,966,1549,4031,3793,521,2299,111,332,787,501,201,568,1315,11267,1517,107,2935,387,1084,705,356,66,154,7376,210,267,209
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,45--49,2017,4665,1574,862,2348,443,177,3169,2650,126,111,1255,1012,209,3040,82,113,1395,1668,114,127,2432,388,98,500,819,11995,320,510,2473,256,1835,388,4098,570,148,1205,3761,760,188,16087,5799,2310,113,101,521,337,1253,218,147,267,171,1664,1814,312,1339,1840,3541,4112,598,1954,178,476,1185,617,365,687,2153,10064,1422,143,2412,723,1199,1103,686,78,237,6494,217,401,529
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,50--54,2017,5481,1979,1392,2502,801,429,5135,3882,186,218,1999,1692,560,2796,157,140,1678,1864,266,291,3824,554,223,1019,1169,10709,671,650,3323,466,2372,628,5479,1239,328,1297,6079,831,372,22411,8089,3196,272,154,697,760,2202,376,344,375,311,2744,3002,788,1943,2874,3159,5112,930,2003,340,698,2762,945,880,1245,4349,10332,1477,292,2221,1365,1565,2075,1833,158,493,7164,307,837,1208
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,55--59,2017,6232,2059,2150,2103,1032,751,7512,5711,262,389,2847,2794,1154,2001,243,189,1375,1456,463,541,5051,982,435,1877,2069,8370,1270,895,3855,720,2442,869,5647,2301,507,1008,7986,874,701,26786,10637,3690,643,202,830,1320,3312,429,612,491,539,3896,4536,1786,2262,4098,2485,5681,1404,1706,622,870,4094,1124,1406,1934,6474,7904,1205,582,1384,2028,1811,3124,2976,262,892,5339,421,1120,2462
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,60--64,2017,7858,2319,3201,2142,1521,1417,11224,8369,431,741,4286,4512,2047,1981,380,276,1441,1572,1026,1037,7167,1785,821,3824,3511,7283,2011,1250,4881,1048,3062,1318,6105,4302,879,804,10597,913,1174,33405,14056,4944,1179,560,1021,2616,4877,594,1006,733,985,5170,7040,3262,3119,6560,2331,7317,1899,1806,1023,1075,7271,1639,2022,2801,11130,6245,1140,1314,1359,3033,2299,5725,5027,435,1659,4820,633,2052,3702
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,65+,2017,24392,7055,13467,4095,6034,9524,46924,38563,1925,4553,27258,29957,6922,4063,1649,2466,3328,3202,6647,6379,30122,14433,4966,20214,26256,16354,7886,7857,16818,4579,10426,8864,17228,22467,3916,1496,36981,2289,7918,101176,64019,16726,4992,5213,3534,14287,20667,2437,4923,4786,4963,17293,37373,19646,11752,32443,5775,33158,12569,3323,5031,5325,28543,4751,8995,12222,45696,12885,2219,8478,2221,13328,11525,26699,21379,1939,11158,8291,2719,9052,10766
ilkokul,6--13,2017,150341,48679,44687,50400,27267,17348,305401,137249,6532,8043,56855,57729,9534,56755,4575,11031,20608,31266,14571,12745,170834,22574,8903,28587,56940,150064,22274,16656,37805,11912,55238,41144,169788,21793,7360,23751,121919,15679,22325,872585,216278,88713,11314,15398,22562,18221,94821,10440,14964,15105,12410,116617,147129,29014,53037,80249,75855,115621,47431,38227,17845,24248,41107,38515,17833,58726,76289,195598,31584,10013,53631,38419,56801,35768,42833,2827,18987,103531,12563,24961,32011
ilkokul,14--17,2017,52597,17041,15146,25890,9414,5401,91647,45297,1959,2348,19293,18020,2986,23622,1356,3307,6896,15034,4344,4619,53700,7107,2955,10011,19056,59971,6323,5822,11516,3915,24055,12759,58938,6522,2346,9571,39883,6169,7155,283876,66350,31597,3280,5280,8212,5760,29374,3688,4762,4964,3708,33976,53867,9204,15922,26189,30504,40265,14768,19922,5735,9204,12734,13943,5280,18466,25327,84388,14688,3503,21420,12165,18704,12286,13065,802,6299,48111,3909,7886,9174
ilkokul,18--21,2017,2058,411,202,2727,114,70,1324,672,44,20,320,343,17,1004,34,87,463,1227,43,47,1149,208,73,105,231,3210,55,272,282,94,1190,194,2586,53,33,658,903,261,91,10955,1474,576,35,39,493,79,431,167,57,143,44,656,647,41,262,534,1506,1134,168,1433,69,144,82,333,43,327,277,7824,860,81,1573,154,580,219,116,61,65,3786,107,111,74
ilkokul,22--24,2017,1225,181,111,716,71,37,753,491,15,18,199,193,9,675,13,47,178,325,23,16,731,63,39,56,115,1488,47,93,151,41,296,130,1566,25,14,169,546,139,37,8297,1077,447,16,13,152,49,253,48,29,68,24,490,381,22,193,288,684,695,112,393,47,119,69,158,21,164,133,2313,321,27,543,91,376,141,94,10,37,1146,70,64,42
ilkokul,25--29,2017,3379,592,315,1832,119,102,3104,1511,94,25,586,479,40,1459,33,120,435,701,70,41,2267,146,51,182,400,3447,137,226,470,102,884,407,5200,135,42,287,1465,317,101,21393,2982,1281,41,51,463,106,916,122,92,147,50,1570,970,83,461,745,1719,1859,407,871,78,244,255,377,47,443,533,5724,677,59,1271,245,1066,279,143,22,90,2749,194,247,97
ilkokul,30--34,2017,27172,8567,10494,8736,6244,2674,42349,25914,1181,780,12711,11459,1657,6858,806,1752,3653,4268,2242,2032,29361,4680,1317,5519,10244,20850,3224,2975,7102,1797,10978,5660,34462,3170,1271,2897,24291,2376,2729,190211,44915,16804,1400,2750,4466,4057,15738,1498,1541,2210,1582,19611,37064,6177,8090,20275,11527,21438,10265,5110,3318,5371,8053,5404,1902,9722,15251,27602,3473,1924,6086,6200,11280,6763,5352,468,3601,16604,1854,4849,5819
ilkokul,35--39,2017,39287,12957,14814,12379,9157,4681,65383,43293,2079,1431,19501,19182,2546,10399,1208,2991,5949,6095,4013,3699,48159,8390,2089,9365,17939,31876,5790,5046,10629,2855,14998,9034,47279,5596,2052,5280,37469,3796,4952,288472,71612,24503,2324,4336,6788,6480,23501,2279,2367,4216,2655,29678,50177,9217,12367,32235,15633,34401,17493,7269,4674,7391,13555,8248,3474,16693,25339,34893,4943,3024,8991,9527,17149,10357,9238,921,5817,21961,2904,7311,9273
ilkokul,40--44,2017,39884,12518,16135,9701,9707,5414,76202,49162,2214,2033,21989,24615,3104,7957,1423,3406,5164,5342,5014,5082,53757,10488,2479,10758,21463,25877,7180,6913,11151,3517,14615,11117,43020,7074,2607,3788,40048,3287,6353,293550,80270,23791,3258,4999,5956,7187,26839,2114,3026,5421,3569,31969,52087,11023,13584,36880,13802,38607,20780,5880,5262,7674,15539,8893,4694,19504,27646,29813,4213,3460,6729,10593,17893,12094,11686,1143,6873,17351,3382,8788,11772
ilkokul,45--49,2017,39592,11538,18128,7393,9540,6831,83939,51430,2056,2648,24627,30100,4147,6197,1486,4322,4373,4362,5998,6117,57823,12999,3374,12567,23951,20477,8192,8480,10492,3808,13323,14035,35143,8541,2959,2759,38203,2602,8080,271798,82760,23170,4343,5963,4980,8129,27250,2068,4160,6575,4395,31824,55003,13870,13422,40431,10880,39897,22746,4777,6353,8158,16652,9711,6367,21228,30015,23318,3320,3886,4968,11326,18924,13011,13645,1298,8184,13507,3841,9550,14100
ilkokul,50--54,2017,43908,10861,20677,6981,10651,9463,101059,55549,2345,3606,30098,37637,5782,5530,1726,5473,4087,4242,7781,7768,67109,16413,5079,16188,28004,18772,9833,12363,11143,4619,14057,18672,35110,11646,3648,2736,39553,2552,10575,287114,96224,22355,5779,6724,5302,11159,30979,2311,5813,9058,6168,36292,60304,18658,14871,47079,8922,44168,26250,4483,7961,8904,21864,10403,7747,25351,38898,22348,3065,5851,4198,13374,22435,16664,18734,1557,10227,13799,4723,12364,18753
ilkokul,55--59,2017,44226,9064,23362,5147,9630,11079,104721,54505,2193,4138,35891,44486,7053,3930,1601,7111,3177,3214,9389,9466,73742,19930,5826,17130,31621,13245,10781,16741,9841,4742,12346,23548,28171,13344,3634,1870,33551,2170,13160,274673,108154,18974,7183,6999,4546,13915,32197,2064,6809,12774,7127,37639,60276,22682,13969,51557,6135,41852,27167,3518,8714,8652,21052,9850,8728,27803,37543,15265,2342,7496,2590,14925,26142,17948,19946,1588,11660,9523,5769,12621,21388
